date,temp_c
2016-04-05,2.780646
2016-04-06,6.7385826
2016-04-07,8.77518
2016-04-08,5.221335
2016-04-09,2.4758358
2016-04-10,3.6208375
2016-04-11,11.581844
2016-04-12,9.110947
2016-04-13,7.773487
2016-04-14,10.213021
2016-04-15,12.949204
2016-04-16,14.869956
2016-04-17,16.208189
2016-04-18,17.924154
2016-04-19,17.538464
2016-04-20,15.892465
2016-04-21,16.55706
2016-04-22,15.965177
2016-04-23,13.523358
2016-04-24,13.626292
2016-04-25,17.5817
2016-04-26,18.976301
2016-04-27,13.795646
2016-04-28,13.659801
2016-04-29,12.345822
2016-04-30,12.150874
2016-05-01,14.36734
2016-05-02,14.167024
2016-05-03,13.3125925
2016-05-04,12.44611
2016-05-05,10.58919
2016-05-06,13.084569
2016-05-07,15.764972
2016-05-08,15.140536
2016-05-09,14.478284
2016-05-10,15.424821
2016-05-11,17.026606
2016-05-12,18.186518
2016-05-13,16.756546
2016-05-14,12.757899
2016-05-15,9.334987
2016-05-16,10.591412
2016-05-17,12.41557
2016-05-18,12.8229475
2016-05-19,14.194653
2016-05-20,15.382535
2016-05-21,15.663882
2016-05-22,15.795357
2016-05-23,17.037626
2016-05-24,19.387606
2016-05-25,21.241192
2016-05-26,22.037071
2016-05-27,22.872437
2016-05-28,23.747435
2016-05-29,23.038843
2016-05-30,22.451347
2016-05-31,22.659454
2016-06-01,22.689032
2016-06-02,22.203346
2016-06-03,21.866287
2016-06-04,21.71285
2016-06-05,21.476492
2016-06-06,22.181955
2016-06-07,20.726212
2016-06-08,17.556908
2016-06-09,18.336094
2016-06-10,21.796274
2016-06-11,24.870153
2016-06-12,25.596426
2016-06-13,21.35216
2016-06-14,22.32308
2016-06-15,23.428999
2016-06-16,23.712715
2016-06-17,22.458033
2016-06-18,22.853392
2016-06-19,23.972029
2016-06-20,25.263136
2016-06-21,24.98607
2016-06-22,23.27562
2016-06-23,24.237669
2016-06-24,23.03798
2016-06-25,24.043394
2016-06-26,25.09598
2016-06-27,24.813116
2016-06-28,23.661924
2016-06-29,20.732557
2016-06-30,21.028185
2016-07-01,22.33314
2016-07-02,20.468016
2016-07-03,19.750626
2016-07-04,20.763739
2016-07-05,24.209204
2016-07-06,25.332327
2016-07-07,24.619827
2016-07-08,25.200226
2016-07-09,24.05407
2016-07-10,23.174288
2016-07-11,23.9746
2016-07-12,24.860575
2016-07-13,25.663183
2016-07-14,25.402819
2016-07-15,25.049288
2016-07-16,23.362656
2016-07-17,24.213999
2016-07-18,26.063393
2016-07-19,25.424072
2016-07-20,24.53186
2016-07-21,25.56601
2016-07-22,26.38372
2016-07-23,27.372421
2016-07-24,27.557121
2016-07-25,27.335943
2016-07-26,26.1392
2016-07-27,25.922739
2016-07-28,25.315893
2016-07-29,24.457903
2016-07-30,23.887228
2016-07-31,24.242743
2016-08-01,24.432474
2016-08-02,24.62638
2016-08-03,24.79905
2016-08-04,24.944109
2016-08-05,25.069963
2016-08-06,25.141153
2016-08-07,23.995447
2016-08-08,23.715113
2016-08-09,24.498657
2016-08-10,26.414703
2016-08-11,27.442924
2016-08-12,27.656816
2016-08-13,27.021399
2016-08-14,25.484278
2016-08-15,24.44187
2016-08-16,24.940878
2016-08-17,24.69398
2016-08-18,24.481735
2016-08-19,24.401917
2016-08-20,24.316664
2016-08-21,22.993814
2016-08-22,20.894373
2016-08-23,21.040071
2016-08-24,23.349854
2016-08-25,25.4534
2016-08-26,25.813173
2016-08-27,25.386477
2016-08-28,25.585526
2016-08-29,25.14911
2016-08-30,24.695719
2016-08-31,24.086344
2016-09-01,22.105433
2016-09-02,20.112606
2016-09-03,20.023285
2016-09-04,20.840204
2016-09-05,22.600037
2016-09-06,24.924433
2016-09-07,25.94902
2016-09-08,25.995514
2016-09-09,24.984962
2016-09-10,24.689283
2016-09-11,21.209082
2016-09-12,19.72638
2016-09-13,21.607208
2016-09-14,22.606215
2016-09-15,21.033224
2016-09-16,21.046732
2016-09-17,22.286917
2016-09-18,22.401018
2016-09-19,22.156046
2016-09-20,22.477465
2016-09-21,22.533203
2016-09-22,22.511637
2016-09-23,23.16825
2016-09-24,21.812357
2016-09-25,20.148842
2016-09-26,18.5557
2016-09-27,17.287704
2016-09-28,16.432158
2016-09-29,16.105507
2016-09-30,16.206022
2016-10-01,16.452883
2016-10-02,16.98868
2016-10-03,17.227907
2016-10-04,17.813993
2016-10-05,18.917284
2016-10-06,18.861893
2016-10-07,18.56413
2016-10-08,16.112726
2016-10-09,13.585717
2016-10-10,12.782776
2016-10-11,13.90866
2016-10-12,15.684554
2016-10-13,13.711094
2016-10-14,11.576248
2016-10-15,14.81631
2016-10-16,18.567652
2016-10-17,20.867365
2016-10-18,22.005775
2016-10-19,20.512133
2016-10-20,17.699219
2016-10-21,13.823348
2016-10-22,9.699257
2016-10-23,12.0394745
2016-10-24,14.007005
2016-10-25,9.748806
2016-10-26,9.506122
2016-10-27,11.689667
2016-10-28,11.182971
2016-10-29,15.49656
2016-10-30,17.751297
2016-10-31,12.423836
2016-11-01,15.060412
2016-11-02,18.030678
2016-11-03,17.339516
2016-11-04,12.655524
2016-11-05,9.56581
2016-11-06,11.0078125
2016-11-07,10.654608
2016-11-08,11.357852
2016-11-09,10.50992
2016-11-10,8.260665
2016-11-11,10.42857
2016-11-12,5.7036576
2016-11-13,5.400703
2016-11-14,7.121488
2016-11-15,9.104066
2016-11-16,9.484656
2016-11-17,11.3487425
2016-11-18,14.008995
2016-11-19,8.379826
2016-11-20,1.8048679
2016-11-21,1.0812534
2016-11-22,2.1034517
2016-11-23,4.331136
2016-11-24,7.334088
2016-11-25,6.7841487
2016-11-26,5.5288796
2016-11-27,4.0740743
2016-11-28,6.5297318
2016-11-29,11.348887
2016-11-30,10.999832
2016-12-01,6.853045
2016-12-02,4.064704
2016-12-03,3.7634008
2016-12-04,3.3626063
2016-12-05,4.343681
2016-12-06,4.0394955
2016-12-07,3.0601346
2016-12-08,-0.021486243
2016-12-09,-2.7987735
2016-12-10,-3.3057911
2016-12-11,-0.69255346
2016-12-12,3.2026036
2016-12-13,0.3987778
2016-12-14,-2.6359138
2016-12-15,-7.0527267
2016-12-16,-8.134648
2016-12-17,1.2458031
2016-12-18,0.69767666
2016-12-19,-6.71039
2016-12-20,-4.4219947
2016-12-21,-0.39099094
2016-12-22,3.422221
2016-12-23,1.9667745
2016-12-24,5.3088336
2016-12-25,5.274356
2016-12-26,9.354541
2016-12-27,7.5314975
2016-12-28,2.9827774
2016-12-29,3.775451
2016-12-30,1.410574
2016-12-31,2.4419057
2017-01-01,3.4667943
2017-01-02,5.439249
2017-01-03,7.6417885
2017-01-04,1.9523044
2017-01-05,-4.584283
2017-01-06,-7.718845
2017-01-07,-9.890222
2017-01-08,-9.699851
2017-01-09,-6.3156095
2017-01-10,1.610713
2017-01-11,6.270466
2017-01-12,10.901111
2017-01-13,3.5268757
2017-01-14,1.0401384
2017-01-15,1.1435313
2017-01-16,3.1546795
2017-01-17,7.968878
2017-01-18,6.1267586
2017-01-19,5.064737
2017-01-20,7.239002
2017-01-21,10.112232
2017-01-22,9.65673
2017-01-23,7.4226036
2017-01-24,4.3591266
2017-01-25,6.465845
2017-01-26,5.3073773
2017-01-27,0.9462705
2017-01-28,0.04744433
2017-01-29,0.62458163
2017-01-30,-1.6856416
2017-01-31,2.69164
2017-02-01,4.300014
2017-02-02,0.80310327
2017-02-03,-2.8176124
2017-02-04,-4.07234
2017-02-05,2.4988086
2017-02-06,4.588951
2017-02-07,11.215179
2017-02-08,7.7716756
2017-02-09,-1.4584967
2017-02-10,-2.8546197
2017-02-11,8.102417
2017-02-12,9.841678
2017-02-13,3.3516319
2017-02-14,3.482993
2017-02-15,3.782244
2017-02-16,1.0099391
2017-02-17,5.389563
2017-02-18,10.308468
2017-02-19,11.189824
2017-02-20,10.474795
2017-02-21,11.382301
2017-02-22,12.378308
2017-02-23,13.759389
2017-02-24,15.2777405
2017-02-25,8.799024
2017-02-26,1.7320064
2017-02-27,5.485592
2017-02-28,10.252994
2017-03-01,13.578977
2017-03-02,4.9388127
2017-03-03,0.36089846
2017-03-04,0.12361592
2017-03-05,2.8617954
2017-03-06,8.627967
2017-03-07,11.869713
2017-03-08,9.901915
2017-03-09,10.15899
2017-03-10,4.704641
2017-03-11,-2.2192109
2017-03-12,-2.0573924
2017-03-13,-0.65807575
2017-03-14,-1.3597924
2017-03-15,-4.65382
2017-03-16,-1.3768926
2017-03-17,2.5499713
2017-03-18,5.7467823
2017-03-19,4.5328794
2017-03-20,7.0700097
2017-03-21,9.751811
2017-03-22,4.369776
2017-03-23,2.4621332
2017-03-24,11.809873
2017-03-25,15.492946
2017-03-26,12.576114
2017-03-27,12.377551
2017-03-28,12.38292
2017-03-29,10.921536
2017-03-30,11.199509
2017-03-31,9.614381
2017-04-01,7.6462445
2017-04-02,9.341083
2017-04-03,13.030907
2017-04-04,14.48098
2017-04-05,12.991592
2017-04-06,9.924359
2017-04-07,6.445639
2017-04-08,8.282887
2017-04-09,13.826619
2017-04-10,18.406866
2017-04-11,16.791382
2017-04-12,14.275143
2017-04-13,14.212231
2017-04-14,15.608246
2017-04-15,18.584888
2017-04-16,20.112152
2017-04-17,16.954617
2017-04-18,15.273499
2017-04-19,16.800028
2017-04-20,18.431696
2017-04-21,15.4279785
2017-04-22,11.255551
2017-04-23,10.976031
2017-04-24,13.333794
2017-04-25,15.384995
2017-04-26,17.93373
2017-04-27,16.912256
2017-04-28,15.662433
2017-04-29,18.225111
2017-04-30,18.296648
2017-05-01,17.362532
2017-05-02,14.251086
2017-05-03,12.179027
2017-05-04,11.615338
2017-05-05,12.693436
2017-05-06,11.774112
2017-05-07,10.696809
2017-05-08,10.981163
2017-05-09,13.326237
2017-05-10,16.363678
2017-05-11,16.303862
2017-05-12,13.948369
2017-05-13,14.327263
2017-05-14,17.028955
2017-05-15,18.202675
2017-05-16,20.1754
2017-05-17,23.426651
2017-05-18,24.495682
2017-05-19,21.341913
2017-05-20,17.954115
2017-05-21,17.932495
2017-05-22,16.380133
2017-05-23,16.550444
2017-05-24,16.06378
2017-05-25,15.625142
2017-05-26,17.530386
2017-05-27,19.66629
2017-05-28,19.449232
2017-05-29,19.969328
2017-05-30,19.35917
2017-05-31,19.37803
2017-06-01,19.604122
